date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2026-03-01,8701600450,SEARCH | Ascend Checking,37,1,0.02,0.0
2026-03-02,8701600450,SEARCH | Ascend Checking,92,18,14.954279,0.0
2026-03-03,8701600450,SEARCH | Ascend Checking,59,8,2.742004,0.0
2026-03-04,8701600450,SEARCH | Ascend Checking,63,14,7.483691,0.0
2026-03-05,8701600450,SEARCH | Ascend Checking,70,11,9.396259,1.0
2026-03-01,20266474689,SEARCH | Auto Expert,1821,30,15.300551,0.0
2026-03-02,20266474689,SEARCH | Auto Expert,2621,21,11.822759,0.0
2026-03-03,20266474689,SEARCH | Auto Expert,1228,22,11.854128,0.0
2026-03-04,20266474689,SEARCH | Auto Expert,2578,37,13.750779,0.0
2026-03-05,20266474689,SEARCH | Auto Expert,190,2,14.555,0.0
2026-03-01,21641193985,Demand Gen - Overall Brand - All Products,24206,18,56.436939,38.0
2026-03-02,21641193985,Demand Gen - Overall Brand - All Products,21701,38,56.013973,3.0
2026-03-03,21641193985,Demand Gen - Overall Brand - All Products,19682,23,50.956974,3.99902
2026-03-04,21641193985,Demand Gen - Overall Brand - All Products,17489,24,48.491216,1.0
2026-03-05,21641193985,Demand Gen - Overall Brand - All Products,17859,26,48.4682,1.0
2026-03-01,23093430697,Evergreen PMax - Auto,1319,33,7.939304,4.627139
2026-03-02,23093430697,Evergreen PMax - Auto,18706,766,138.518976,25.814484
2026-03-03,23093430697,Evergreen PMax - Auto,156968,284,503.495714,20.525942
2026-03-04,23093430697,Evergreen PMax - Auto,179909,609,564.526852,19.872112
2026-03-05,23093430697,Evergreen PMax - Auto,128758,719,374.670423,17.062815
2026-03-01,23346863439,Goodbuy Community Marketplace - PMax,5050,57,34.08312,1.0
2026-03-02,23346863439,Goodbuy Community Marketplace - PMax,23102,120,132.849717,0.0
2026-03-03,23346863439,Goodbuy Community Marketplace - PMax,16599,61,48.542531,0.0
2026-03-04,23346863439,Goodbuy Community Marketplace - PMax,20525,100,95.187486,0.0
2026-03-05,23346863439,Goodbuy Community Marketplace - PMax,13534,87,60.952332,0.0
2026-03-01,23473699144,Competitor 2026,6191,175,39.310735,15.041932
2026-03-02,23473699144,Competitor 2026,4786,284,65.10391,10.068541
2026-03-03,23473699144,Competitor 2026,4244,301,47.485781,13.649623
2026-03-04,23473699144,Competitor 2026,4996,376,55.469671,19.718197
2026-03-05,23473699144,Competitor 2026,4223,185,46.837235,14.218806
2026-03-01,23504365164,PMax - Ascend Checking,9709,488,112.4921,31.000644
2026-03-02,23504365164,PMax - Ascend Checking,20271,279,77.733572,9.0
2026-03-03,23504365164,PMax - Ascend Checking,11248,652,113.736321,23.528599
2026-03-04,23504365164,PMax - Ascend Checking,10353,199,101.34146,17.0
2026-03-05,23504365164,PMax - Ascend Checking,9640,246,82.289801,21.850852
