location,impressions,clicks,cost,conversions
geoTargetConstants/1013573,17401,260,88.64208599999999,74.99427
geoTargetConstants/1013576,14771,221,86.686652,55.144731
geoTargetConstants/1013601,510,36,115.76516,13.998955
geoTargetConstants/1013629,1859,85,12.530947,5.683575
geoTargetConstants/1013634,7468,72,29.763874,18.0
geoTargetConstants/1013661,24543,371,103.258709,88.132653
geoTargetConstants/1013687,53818,544,260.111846,180.34269
geoTargetConstants/1013701,129136,1024,469.263952,309.533621
geoTargetConstants/1013728,42,1,0.08907,0.0
geoTargetConstants/1013790,2056,178,80.420379,33.883957
geoTargetConstants/1013852,173414,1624,838.97331,686.577854
geoTargetConstants/1013863,9461,56,38.135427,19.0
geoTargetConstants/1013873,21,0,0.020654,0.0
geoTargetConstants/1013878,24,1,0.07,0.0
geoTargetConstants/1013879,90155,1126,514.869024,416.756067
geoTargetConstants/1013916,46242,320,169.122861,111.525263
geoTargetConstants/1013924,51547,307,150.70781,103.998867
geoTargetConstants/1013982,2878,19,11.068769,11.0
geoTargetConstants/1013998,5190,93,30.418769,29.0
geoTargetConstants/1014001,78268,565,332.641908,191.287723
geoTargetConstants/1014013,3653,58,12.386202,22.998955
geoTargetConstants/1014033,365206,3029,1733.982373,1496.155102
geoTargetConstants/1014045,96784,480,292.695656,158.0
geoTargetConstants/1014063,34711,222,168.642978,75.0
geoTargetConstants/1014069,20384,314,92.373627,83.998955
geoTargetConstants/1014074,11,0,0.0,0.0
geoTargetConstants/1014089,11051,314,88.027044,46.0
geoTargetConstants/1014106,21655,498,125.785127,99.537933
geoTargetConstants/1014107,35805,382,165.971572,113.190847
geoTargetConstants/1014127,94991,843,426.062118,346.087224
geoTargetConstants/1014167,915,132,42.366738,8.5
geoTargetConstants/1014168,4382,140,45.066089999999996,26.898775
geoTargetConstants/1014197,635971,5534,2478.196972,1991.906545
geoTargetConstants/1014218,2379,438,209.317464,38.920435
geoTargetConstants/1014224,95529,699,420.693193,354.606845
geoTargetConstants/1014327,25300,355,96.014837,67.329935
geoTargetConstants/1014330,2492,66,13.958764,14.0
geoTargetConstants/1014333,36651,134,132.743626,76.5
geoTargetConstants/1014400,53925,204,135.197144,94.410656
geoTargetConstants/1014407,13494,95,46.055714,39.0
geoTargetConstants/9051689,3451,38,11.312594,5.0
geoTargetConstants/9051887,28021,217,92.208079,65.097677
geoTargetConstants/9052177,166,11,1.305557,0.0
geoTargetConstants/9053039,4582,123,37.042085,28.369056999999998
geoTargetConstants/9053199,3573,129,22.820373,10.75
geoTargetConstants/9189894,482,14,1.954739,2.0
geoTargetConstants/9190625,6668,58,24.264112,17.287050999999998
geoTargetConstants/9190743,10440,128,48.947596,37.285215
geoTargetConstants/9191201,35275,165,123.892881,98.0
geoTargetConstants/9192063,1457,91,8.453426,4.0
geoTargetConstants/9195521,66,4,0.27848100000000003,1.0
geoTargetConstants/9195613,38,6,0.45465200000000006,0.0
geoTargetConstants/9195978,11,1,0.11,1.0
geoTargetConstants/9196025,25503,148,66.496167,34.0
geoTargetConstants/9196182,28,4,1.0253020000000002,0.883957
geoTargetConstants/9196378,383,25,5.549028,6.0
geoTargetConstants/9196429,3,0,0.0,0.0
geoTargetConstants/9196529,12,1,0.015135,0.0
geoTargetConstants/9196737,1607,70,7.026584,5.0
geoTargetConstants/9197102,3376,74,29.737475,12.0
geoTargetConstants/9197580,11,1,0.054845000000000005,0.0
geoTargetConstants/9197803,69088,390,211.886271,139.110611
geoTargetConstants/9209609,4169,62,23.355268,9.732326
geoTargetConstants/9212469,184,9,2.7624820000000003,0.0
geoTargetConstants/9212774,335,16,2.35314,2.0
geoTargetConstants/9213840,870,29,5.499227,4.0
geoTargetConstants/9215355,3166,37,14.516348,9.732108
geoTargetConstants/9216559,8524,90,33.094948,18.0
geoTargetConstants/9217599,65684,429,254.005172,190.970877
geoTargetConstants/9220074,293,15,26.292548,4.666666
geoTargetConstants/9220233,245,18,3.092936,2.0
