search_term,keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions
$0 down car dealership,buy and sell used cars near me,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
$500 down car lots no driver license near me,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
0 down car dealers,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
1202 auto center dr ontario ca 91761,buy and sell used cars near me,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
1st century bank,best banks for checking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
2020 honda civic type r,auto expert online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
2023 nissan sentra sr,auto expert online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
2nd chance bank accounts with zelle,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
4x4 auto near me,cars for sale near my location,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
a better bid,sell car online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,9,2,6.63,0.0
a&r auto near me,cars for sale near my location,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
acura near me,cars for sale near my location,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,3,0,0.0,0.0
adesa los angeles,auto expert online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
adesa los angeles,buy and sell used cars near me,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,2,0,0.0,0.0
advantage auto near me,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
all bank near me,bank account near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,2,0.04,0.0
all in auto group,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
all in credit union,get a bank account online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
all in credit union,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
alliant credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,18,0,0.0,0.0
allpoint atm near me,checking near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
allpoint atm near me,deposit through atm,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,0,0.0,0.0
allure bank,get a bank account online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
allure credit union,best checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
allure credit union,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
allure credit union,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.13,0.0
ally credit union,best cd rates near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
alta credit,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
alta vista bank,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.283574,0.0
alta vista credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.55,0.0
alta vista credit union near me,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,1.2539,0.0
altavista credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,0,0.0,0.0
altera bank,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altera bank,best banks for checking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.198802,0.0
altera bank,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,3,0,0.0,0.0
