campaign_name,impressions,clicks,cost,conversions
Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,42552,16014,5470.57654,145.429337
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Search_Google_Conversion,22733,4473,7083.410247,70.137463
Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,9496,963,2084.803778,44.842337
Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,8795,925,2466.533532,16.428006
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Reach,1627419,895,1429.733761,0.0
Ark Marketing_CCCU_Auto Loans San Diego-ENG Q1 2026_Search_Google_Conversion,6159,838,1032.21118,34.823943
Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,5620,757,1249.910257,11.076740000000001
Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,8890,753,2517.280901,20.09314
Ark Marketing_CCCU_Checking Out of Market-ENG Q1 2026_Search_Google_Conversion,12528,725,5088.187448,88.021607
Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,727724,429,661.900479,0.0
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Retargeting,416970,62,335.89979,0.0
Ark Marketing_CCCU_San Diego-ENG Q1 2026_Display_Google_Retargeting,132196,20,119.735418,0.0
