date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2026-03-01,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,392,51,61.354112,0.0
2026-03-02,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,335,41,67.066711,0.0
2026-03-03,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,261,34,65.489296,0.0
2026-03-04,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,328,33,62.891627,0.0
2026-03-05,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,309,26,60.140877,0.0
2026-03-01,1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,672,48,155.188375,1.0
2026-03-02,1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,630,49,99.901856,0.0
2026-03-03,1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,611,66,98.498809,0.0
2026-03-04,1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,401,38,102.821854,1.0
2026-03-05,1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,634,59,110.038592,0.0
2026-03-01,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,2041,625,136.249561,3.098091
2026-03-02,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,4857,1309,420.005537,16.0
2026-03-03,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,3569,950,332.206399,2.313366
2026-03-04,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,3840,1034,313.313347,4.0
2026-03-05,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,2071,931,215.321782,0.0
2026-03-01,1636059240,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Retargeting,6535,0,5.511111,0.0
2026-03-02,1636059240,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Retargeting,6823,3,6.168338,0.0
2026-03-03,1636059240,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Retargeting,6171,0,5.55375,0.0
2026-03-04,1636059240,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Retargeting,6090,0,5.642626,0.0
2026-03-05,1636059240,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Retargeting,6216,1,5.769695,0.0
2026-03-01,21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,24742,17,22.069086,0.0
2026-03-02,21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,24799,21,23.124447,0.0
2026-03-03,21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,27531,15,23.138524,0.0
2026-03-04,21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,27764,13,23.100525,0.0
2026-03-05,21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,30647,18,23.06375,0.0
