campaign_id,campaign_name,apps,approved,funded,production,value,cpf,avg_funded_value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,5,1,1,3000.0,780.0,0,780.0,0,0,1,0,0
1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,3,1,0,0.0,0.0,0,0.0,0,0,0,1,0
1578789542,Ark Marketing_CCCU_Auto Loans San Diego-ENG Q1 2026_Search_Google_Conversion,4,1,0,0.0,0.0,0,0.0,0,0,0,1,0
1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,44,17,13,240872.66,54022.392400000004,0,4155.57,1,6,2,8,0
21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22071062520,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Search_Google_Conversion,17,5,3,33145.25,6496.835,0,2165.61,0,1,2,2,0
22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,17,2,0,0.0,0.0,0,0.0,0,1,0,1,0
22080143039,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Reach,6,2,2,14275.0,3941.5,0,1970.75,1,0,1,0,0
22086561724,Ark Marketing_CCCU_Checking Out of Market-ENG Q1 2026_Search_Google_Conversion,23,4,1,1.0,1500.0,0,1500.0,0,2,0,2,0
22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,5,2,1,5000.0,2450.0,0,2450.0,1,0,0,1,0
