location,impressions,clicks,cost,conversions
geoTargetConstants/1013524,243,0,0.172459,0.0
geoTargetConstants/1013525,899,2,1.966835,0.0
geoTargetConstants/1013531,2270,1,1.6697440000000001,0.0
geoTargetConstants/1013532,25,0,0.036931,0.0
geoTargetConstants/1013535,2962,67,19.099333,0.0
geoTargetConstants/1013537,739,1,0.648516,0.0
geoTargetConstants/1013542,49501,113,212.791279,0.0
geoTargetConstants/1013549,3808,12,21.666394999999998,0.0
geoTargetConstants/1013552,3053,0,2.243632,0.0
geoTargetConstants/1013557,52,0,0.06564400000000001,0.0
geoTargetConstants/1013564,99,0,0.085311,0.0
geoTargetConstants/1013567,206,0,0.11339500000000001,0.0
geoTargetConstants/1013569,97,1,2.697168,0.0
geoTargetConstants/1013571,21,0,0.011748,0.0
geoTargetConstants/1013573,1604,5,8.060895,0.0
geoTargetConstants/1013574,2101,7,9.312711,0.0
geoTargetConstants/1013576,98,16,37.561718,0.0
geoTargetConstants/1013577,6,0,0.004597,0.0
geoTargetConstants/1013580,2039,2,1.7055799999999999,0.0
geoTargetConstants/1013587,2493,0,1.886145,0.0
geoTargetConstants/1013588,847,4,10.356264,0.0
geoTargetConstants/1013589,207,7,6.428443,0.0
geoTargetConstants/1013598,1049,3,2.6222119999999998,0.0
geoTargetConstants/1013601,687,1,0.930947,0.0
geoTargetConstants/1013605,904,17,10.672306,0.0
geoTargetConstants/1013608,955,2,2.009909,0.0
geoTargetConstants/1013613,2140,13,38.031253,0.0
geoTargetConstants/1013621,4038,9,35.89362,0.0
geoTargetConstants/1013622,7151,1,5.5247980000000005,0.0
geoTargetConstants/1013629,370,2,2.91516,0.0
geoTargetConstants/1013634,526,2,0.377484,0.0
geoTargetConstants/1013641,14,0,0.014922999999999999,0.0
geoTargetConstants/1013643,483,6,2.846572,0.0
geoTargetConstants/1013651,13840,234,88.325074,0.0
geoTargetConstants/1013656,2319,0,1.700495,0.0
geoTargetConstants/1013658,8,0,0.008345,0.0
geoTargetConstants/1013661,2622,20,15.136045,0.0
geoTargetConstants/1013666,3219,0,2.325933,0.0
geoTargetConstants/1013673,712,11,38.120285,0.0
geoTargetConstants/1013674,2898,35,71.873911,0.0
geoTargetConstants/1013677,30252,766,323.890827,0.0
geoTargetConstants/1013679,32,0,0.027381,0.0
geoTargetConstants/1013680,1981,2,1.562289,0.0
geoTargetConstants/1013687,789,9,8.664392,0.0
geoTargetConstants/1013693,77,0,0.06135,0.0
geoTargetConstants/1013696,2887,2,2.132445,0.0
geoTargetConstants/1013701,5645,56,52.619472,0.0
geoTargetConstants/1013703,3232,6,3.127454,0.0
geoTargetConstants/1013705,4552,22,50.482956,0.0
geoTargetConstants/1013709,2316,3,1.8882,0.0
geoTargetConstants/1013711,580,4,2.653596,0.0
geoTargetConstants/1013714,863,0,0.723901,0.0
geoTargetConstants/1013716,3072,11,15.179718,0.0
geoTargetConstants/1013717,88,7,0.16632200000000003,0.0
geoTargetConstants/1013719,1717,16,23.386817999999998,0.0
geoTargetConstants/1013724,933,9,6.543029,0.0
geoTargetConstants/1013728,9,0,0.005901,0.0
geoTargetConstants/1013731,1,0,0.000404,0.0
geoTargetConstants/1013737,2714,1,2.182409,0.0
geoTargetConstants/1013751,20714,450,146.457928,0.0
geoTargetConstants/1013757,2059,0,1.483267,0.0
geoTargetConstants/1013758,2019,0,1.762602,0.0
geoTargetConstants/1013768,12779,196,120.97383799999999,0.0
geoTargetConstants/1013771,22825,457,158.977562,0.0
geoTargetConstants/1013780,6355,93,59.097235,0.0
geoTargetConstants/1013790,7835,39,30.37282,0.0
geoTargetConstants/1013798,2656,13,22.443644,0.0
geoTargetConstants/1013807,291,3,4.025449,0.0
geoTargetConstants/1013808,5970,21,38.18764,0.0
geoTargetConstants/1013812,9033,20,38.610365,0.0
geoTargetConstants/1013813,3647,3,2.8931080000000002,0.0
geoTargetConstants/1013819,6494,2,5.141361,0.0
geoTargetConstants/1013820,2418,1,1.72285,0.0
geoTargetConstants/1013825,3329,16,19.600128,0.0
geoTargetConstants/1013841,9,0,0.010440999999999999,0.0
geoTargetConstants/1013846,3538,1,2.900932,0.0
geoTargetConstants/1013851,491,1,1.373024,0.0
geoTargetConstants/1013852,6068,85,123.393597,0.0
geoTargetConstants/1013856,718,0,0.537144,0.0
geoTargetConstants/1013857,4969,18,47.439036,0.0
geoTargetConstants/1013859,1690,7,7.911894,0.0
geoTargetConstants/1013863,532,25,19.225061999999998,0.0
geoTargetConstants/1013869,9782,45,110.38562300000001,0.0
geoTargetConstants/1013870,1212,0,0.9709099999999999,0.0
geoTargetConstants/1013876,2315,26,15.906364,0.0
geoTargetConstants/1013879,2154,15,31.050253,0.0
geoTargetConstants/1013880,4306,0,3.03239,0.0
geoTargetConstants/1013883,22106,102,194.65798900000001,0.0
geoTargetConstants/1013887,94,3,1.935828,0.0
geoTargetConstants/1013889,1732,32,13.202896,0.0
geoTargetConstants/1013891,389,1,0.460113,0.0
geoTargetConstants/1013892,963,6,3.439703,0.0
geoTargetConstants/1013907,1559,0,1.244203,0.0
geoTargetConstants/1013908,1729,3,1.374067,0.0
geoTargetConstants/1013909,278,0,0.205959,0.0
geoTargetConstants/1013912,11952,394,144.93598599999999,0.0
geoTargetConstants/1013913,1649,0,1.202376,0.0
geoTargetConstants/1013914,848,5,9.426902,0.0
geoTargetConstants/1013915,4896,5,3.784648,0.0
geoTargetConstants/1013916,3154,24,27.757863,0.0
geoTargetConstants/1013917,1343,1,1.03689,0.0
geoTargetConstants/1013920,1008,6,21.28907,0.0
geoTargetConstants/1013921,1952,16,15.877488,0.0
geoTargetConstants/1013922,2971,14,46.357163,0.0
geoTargetConstants/1013923,525,3,1.9380110000000002,0.0
geoTargetConstants/1013924,3040,97,89.785661,0.0
geoTargetConstants/1013925,3215,15,20.180295,0.0
geoTargetConstants/1013926,25,0,0.01847,0.0
geoTargetConstants/1013929,6737,101,24.400386,0.0
geoTargetConstants/1013930,2824,2,1.874277,0.0
geoTargetConstants/1013931,1575,1,1.0658050000000001,0.0
geoTargetConstants/1013935,375,0,0.34744200000000003,0.0
geoTargetConstants/1013942,2464,92,27.670002,0.0
geoTargetConstants/1013954,972,2,7.048735,0.0
geoTargetConstants/1013955,918,0,0.830366,0.0
geoTargetConstants/1013958,18087,4,13.844431,0.0
geoTargetConstants/1013960,111,0,0.05481,0.0
geoTargetConstants/1013962,365800,189,298.955639,0.0
geoTargetConstants/1013972,226,0,0.18534299999999998,0.0
geoTargetConstants/1013973,2357,1,1.934534,0.0
geoTargetConstants/1013978,836,0,0.675735,0.0
geoTargetConstants/1013980,978,0,0.828116,0.0
geoTargetConstants/1013982,21,4,1.519799,0.0
geoTargetConstants/1013992,136,0,0.111894,0.0
geoTargetConstants/1013998,38,2,1.6778300000000002,0.0
geoTargetConstants/1014001,5959,286,302.207617,0.0
geoTargetConstants/1014003,124,1,2.9681429999999995,0.0
geoTargetConstants/1014013,37,2,0.921103,0.0
geoTargetConstants/1014017,1314,15,6.987388,0.0
geoTargetConstants/1014022,1557,0,1.154068,0.0
geoTargetConstants/1014025,920,5,2.466963,0.0
geoTargetConstants/1014027,135,0,0.078042,0.0
geoTargetConstants/1014029,1614,0,1.237659,0.0
geoTargetConstants/1014033,6909,43,96.34644,0.0
geoTargetConstants/1014045,8691,468,521.217491,0.0
geoTargetConstants/1014047,5267,216,56.771358,0.0
geoTargetConstants/1014049,1139,2,2.097345,0.0
geoTargetConstants/1014053,89,0,0.067718,0.0
geoTargetConstants/1014058,4638,42,60.719251,0.0
