keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name
auto loan rates san diego,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
bring a trailer financing,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
chase,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
first bank rv loans,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
golden 1 pre approval,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
high,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
lowest auto loan rates san diego 2020,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
passbook,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
td,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
usaa,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
used,PHRASE,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
wells,BROAD,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408215,Search_Keyword Targeting_English_Auto-B
$200 a month car payment,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
$200 car payment,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
$500 down payment cars,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
0 percent financing for 72 months suv,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
120 month auto loan,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
5000 car loan,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
all credit auto,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
apr car,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
arkansas federal credit union auto loan rates,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto auction financing,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto car loan,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto financing,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto loan prequalification,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto loans alaska,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
auto loans irvine,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
bank car sales,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
bank financing car,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
bank of america auto loan,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
best auto loans for military,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
best bank to get a car loan,EXACT,22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,180117408695,Search_Keyword Targeting_English_Car-B
