date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2025-12-01,22527054383,CWO_Checking_Search,132,3,48.48,1.0
2025-12-01,22860074145,CWO_Loans_Search,93,3,90.14,0.0
2025-12-02,22527054383,CWO_Checking_Search,58,9,125.35,3.0
2025-12-02,22860074145,CWO_Loans_Search,81,12,88.349805,1.0
2025-12-03,22527054383,CWO_Checking_Search,169,9,99.33,2.0
2025-12-03,22860074145,CWO_Loans_Search,160,14,92.705687,1.0
2025-12-04,22527054383,CWO_Checking_Search,91,5,97.449348,1.0
2025-12-04,22860074145,CWO_Loans_Search,167,14,89.608287,5.0
2025-12-05,22527054383,CWO_Checking_Search,138,7,43.421318,4.0
2025-12-05,22860074145,CWO_Loans_Search,121,11,102.430084,2.0
2025-12-06,22527054383,CWO_Checking_Search,102,7,117.65,1.001444
2025-12-06,22860074145,CWO_Loans_Search,126,6,81.806783,0.0
2025-12-07,22527054383,CWO_Checking_Search,128,2,29.53,0.0
2025-12-07,22860074145,CWO_Loans_Search,133,11,85.120797,3.0
2025-12-08,22527054383,CWO_Checking_Search,123,7,82.021142,2.0
2025-12-08,22860074145,CWO_Loans_Search,147,15,71.173071,2.0
2025-12-09,22527054383,CWO_Checking_Search,168,6,87.183103,2.0
2025-12-09,22860074145,CWO_Loans_Search,210,12,113.780783,2.0
2025-12-10,22527054383,CWO_Checking_Search,154,10,141.863081,4.0
2025-12-10,22860074145,CWO_Loans_Search,166,10,90.915539,0.0
2025-12-11,22527054383,CWO_Checking_Search,96,11,128.97,5.997112
2025-12-11,22860074145,CWO_Loans_Search,151,13,77.758259,1.0
2025-12-12,22527054383,CWO_Checking_Search,105,4,17.78,0.0
2025-12-12,22860074145,CWO_Loans_Search,209,15,94.450384,0.0
2025-12-13,22527054383,CWO_Checking_Search,74,3,23.02,0.0
2025-12-13,22860074145,CWO_Loans_Search,197,11,47.564272,1.0
2025-12-14,22527054383,CWO_Checking_Search,111,5,84.34,2.0
2025-12-14,22860074145,CWO_Loans_Search,135,11,60.345485,1.0
2025-12-15,22527054383,CWO_Checking_Search,174,8,98.34,2.0
2025-12-15,22860074145,CWO_Loans_Search,286,21,163.824795,3.0
2025-12-16,22527054383,CWO_Checking_Search,263,11,176.646102,4.0
2025-12-16,22860074145,CWO_Loans_Search,159,16,95.547001,2.0
2025-12-17,22527054383,CWO_Checking_Search,144,5,120.68752,2.0
2025-12-17,22860074145,CWO_Loans_Search,210,11,59.06555,1.0
2025-12-18,22527054383,CWO_Checking_Search,78,3,114.914296,1.0
2025-12-18,22860074145,CWO_Loans_Search,275,15,131.985711,6.0
2025-12-19,22527054383,CWO_Checking_Search,166,7,97.879992,1.0
2025-12-19,22860074145,CWO_Loans_Search,228,14,86.65,4.0
2025-12-20,22527054383,CWO_Checking_Search,44,3,90.7,2.0
2025-12-20,22860074145,CWO_Loans_Search,134,8,48.425995,3.0
2025-12-21,22527054383,CWO_Checking_Search,81,5,55.57,0.0
2025-12-21,22860074145,CWO_Loans_Search,144,5,33.53,0.0
2025-12-22,22527054383,CWO_Checking_Search,82,5,61.55,2.0
2025-12-22,22860074145,CWO_Loans_Search,305,23,158.13,0.0
2025-12-23,22527054383,CWO_Checking_Search,113,4,93.7,1.0
2025-12-23,22860074145,CWO_Loans_Search,119,10,83.407504,2.0
2025-12-24,22527054383,CWO_Checking_Search,182,3,47.729371,0.0
2025-12-24,22860074145,CWO_Loans_Search,164,8,41.213019,1.0
2025-12-25,22527054383,CWO_Checking_Search,117,5,117.27,2.0
2025-12-25,22860074145,CWO_Loans_Search,71,3,8.53,0.0
2025-12-26,22527054383,CWO_Checking_Search,59,6,91.9,3.0
2025-12-26,22860074145,CWO_Loans_Search,396,24,173.255757,2.0
2025-12-27,22527054383,CWO_Checking_Search,53,4,117.42,3.0
2025-12-27,22860074145,CWO_Loans_Search,385,11,136.481807,1.0
2025-12-28,22527054383,CWO_Checking_Search,16,5,74.13,0.0
2025-12-28,22860074145,CWO_Loans_Search,165,9,75.49,1.0
2025-12-29,22527054383,CWO_Checking_Search,150,8,49.187449,1.0
2025-12-29,22860074145,CWO_Loans_Search,212,10,83.355674,0.0
2025-12-30,22527054383,CWO_Checking_Search,143,4,40.06,2.0
2025-12-30,22860074145,CWO_Loans_Search,103,9,66.618298,2.0
2025-12-31,22527054383,CWO_Checking_Search,138,4,36.52,1.0
2025-12-31,22860074145,CWO_Loans_Search,169,8,50.990364,3.0
