date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2025-11-01,22941603101,Canada-US,183,22,55.751516,3.0
2025-11-02,22941603101,Canada-US,225,20,56.979381,9.0
2025-11-03,22941603101,Canada-US,350,20,49.31668,8.0
2025-11-04,22941603101,Canada-US,153,21,57.794735,10.0
2025-11-05,22941603101,Canada-US,154,21,56.557682,5.0
2025-11-06,22941603101,Canada-US,289,38,84.39456,11.0
2025-11-07,22941603101,Canada-US,265,30,91.664589,8.0
2025-11-08,22941603101,Canada-US,419,33,85.694713,7.0
2025-11-09,22941603101,Canada-US,360,26,91.587798,8.0
2025-11-10,22941603101,Canada-US,330,31,93.31817,9.999501
2025-11-11,22941603101,Canada-US,296,33,94.690041,15.5
2025-11-12,22941603101,Canada-US,572,33,96.064186,10.0
2025-11-13,22941603101,Canada-US,317,30,83.160516,5.0
2025-11-14,22941603101,Canada-US,203,27,70.58922,7.0
2025-11-15,22941603101,Canada-US,170,21,60.056858,6.0
2025-11-16,22941603101,Canada-US,201,22,69.185451,6.0
2025-11-17,22941603101,Canada-US,325,28,87.005945,6.001205
2025-11-18,22941603101,Canada-US,318,21,81.943326,2.0
2025-11-19,22941603101,Canada-US,307,28,80.060527,5.0
2025-11-20,22941603101,Canada-US,218,23,76.859743,5.0
2025-11-21,22941603101,Canada-US,270,21,68.241698,6.0
2025-11-22,22941603101,Canada-US,365,19,61.325423,4.0
2025-11-23,22941603101,Canada-US,354,23,68.399912,4.0
2025-11-24,22941603101,Canada-US,450,29,81.101367,12.5
2025-11-25,22941603101,Canada-US,284,22,62.232607,6.0
2025-11-26,22941603101,Canada-US,355,24,95.107612,10.0
2025-11-27,22941603101,Canada-US,282,14,48.306294,3.0
2025-11-28,22941603101,Canada-US,339,33,93.833773,11.0
2025-11-29,22941603101,Canada-US,331,21,65.137455,3.0
2025-11-30,22941603101,Canada-US,292,27,90.651607,7.0
2025-11-01,22942113116,TOF US-US Broad,46,4,10.1,3.0
2025-11-02,22942113116,TOF US-US Broad,57,7,17.08,1.0
2025-11-03,22942113116,TOF US-US Broad,38,6,18.429036,1.0
2025-11-04,22942113116,TOF US-US Broad,42,5,14.88,2.0
2025-11-05,22942113116,TOF US-US Broad,45,2,2.45744,0.0
2025-11-06,22942113116,TOF US-US Broad,22,2,6.21,1.0
2025-11-07,22942113116,TOF US-US Broad,32,4,8.730587,1.0
2025-11-08,22942113116,TOF US-US Broad,41,3,6.914238,0.0
2025-11-09,22942113116,TOF US-US Broad,50,9,27.35,2.0
2025-11-10,22942113116,TOF US-US Broad,41,3,8.780708,0.0
2025-11-11,22942113116,TOF US-US Broad,27,2,3.24,0.0
2025-11-12,22942113116,TOF US-US Broad,22,5,14.7,1.0
2025-11-13,22942113116,TOF US-US Broad,20,4,6.34,1.0
2025-11-14,22942113116,TOF US-US Broad,33,3,7.47,0.0
2025-11-15,22942113116,TOF US-US Broad,69,5,13.922592,1.0
2025-11-16,22942113116,TOF US-US Broad,77,6,17.87,0.0
2025-11-17,22942113116,TOF US-US Broad,63,6,12.813261,2.0
2025-11-18,22942113116,TOF US-US Broad,45,4,5.46,0.0
2025-11-19,22942113116,TOF US-US Broad,32,5,14.92,1.0
2025-11-20,22942113116,TOF US-US Broad,60,6,13.275836,2.0
2025-11-21,22942113116,TOF US-US Broad,55,8,26.040843,7.0
2025-11-22,22942113116,TOF US-US Broad,49,6,15.992469,1.0
2025-11-23,22942113116,TOF US-US Broad,69,6,22.08,1.0
2025-11-24,22942113116,TOF US-US Broad,71,8,19.357062,1.0
2025-11-25,22942113116,TOF US-US Broad,74,8,22.329293,1.0
2025-11-26,22942113116,TOF US-US Broad,69,4,10.201869,1.0
2025-11-27,22942113116,TOF US-US Broad,33,2,2.017621,0.0
2025-11-28,22942113116,TOF US-US Broad,45,2,4.1,0.0
2025-11-29,22942113116,TOF US-US Broad,69,2,10.61,1.0
2025-11-30,22942113116,TOF US-US Broad,91,12,40.177426,0.0
