keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name
car trailer rental,EXACT,22004521585,Website traffic-Search-3,172544373035,Ad group 1
شركة شحن سيارات من امريكا,EXACT,22004521585,Website traffic-Search-3,172544373035,Ad group 1
car movements,EXACT,22004521585,Website traffic-Search-3,172544373035,Ad group 1
free,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
comparison,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
review,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
insurance,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
job,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
jobs,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
motorcycle,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
forum,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
guide,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
manual,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
tutorial,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
cheap,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
boat,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
employment,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
how to,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
car parts,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
work,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
training,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
camper,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
auto parts,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
engine,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
bus,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
bike,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
registration,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
yacht,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
hiring,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
furniture shipping,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
trailer,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
reviews,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
policy,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
career,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
jet ski,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
shipping boxes,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
license,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
motorhome,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
scam,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
do it yourself,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
postal,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
mail,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
diy,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
careers,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
salary,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
battery,BROAD,22941603101,Canada-US,183793632879,BOF Canada-US Exact
