campaign_id,campaign_name,impressions,clicks,cost,conversions
11946764304,FCB_Search_Brand_BrandedTerms_AllRegions,66584,25231,8700.648469,3065.046597
17825136682,FCB_PMAX_Checking_Consumer_AllRegions,99769,8249,9079.78068,1595.034033
20328798225,WFX- Business Checking- Central Ohio,126,6,59.61,1.0
20328798237,FCB_Search_Checking_AllBusinessProductsBrand_AllRegions,1208,122,1011.268958,7.83207
22597252504,WFX - Personal Checking -  Altoona,686,109,181.658583,55.0
22876061951,WFX - Personal Checking - Natrona Heights,149,18,127.79,5.0
22876064318,FCB_Search_Checking_AllConsumerProductsNonBrand_AllRegions,26697,3020,6074.083777,205.99862
22876064828,WFX - Personal Checking - Punxy Plaza,169,24,152.663656,11.0
22876064855,WFX - Personal Checking - Allegheny Township,239,19,131.743511,7.0
22919175118,WFX - Personal Checking -  Union Square,309,23,71.747959,6.0
22919175244,WFX - Personal Checking -  West Mifflin,767,68,150.454952,13.0
22919175247,WFX - Personal Checking -  North Plaza,971,64,156.385999,25.999969
22919175250,WFX - Personal Checking -  Massillon,180,41,76.781989,15.0
23409554117,FCB_YouTube_Brand_ConsumerBusiness_AllRegions,2819473,226,13497.359647,0.0
23441286398,FCB_Search_Brand_NonBrandTerms_AllRegions,10882,3422,2618.6785760000002,331.717629
