location,impressions,clicks,cost,conversions
geoTargetConstants/1014901,3,0,0.009105,0.0
geoTargetConstants/1014927,3,0,0.020508,0.0
geoTargetConstants/1014938,1,0,0.003753,0.0
geoTargetConstants/1015116,1,0,0.00298,0.0
geoTargetConstants/1015117,1,0,0.005338,0.0
geoTargetConstants/1015182,2,0,0.009272,0.0
geoTargetConstants/1015254,1,0,0.005758,0.0
geoTargetConstants/1015318,1,0,0.006367,0.0
geoTargetConstants/1015479,1,0,0.006423,0.0
geoTargetConstants/1017681,9,0,0.054866,0.0
geoTargetConstants/1017733,2056,0,10.134356,0.0
geoTargetConstants/1017751,425,0,2.090528,0.0
geoTargetConstants/1017768,290,1,1.398488,0.0
geoTargetConstants/1017799,21,0,0.090953,0.0
geoTargetConstants/1017851,2937,1,14.97688,0.0
geoTargetConstants/1017888,114,0,0.59739,0.0
geoTargetConstants/1018127,5,0,0.025792,0.0
geoTargetConstants/1022070,6,0,0.036962999999999996,0.0
geoTargetConstants/1022126,55,0,0.310194,0.0
geoTargetConstants/1022135,7,0,0.038704,0.0
geoTargetConstants/1022209,824,0,4.44646,0.0
geoTargetConstants/1022262,6,0,0.032644,0.0
geoTargetConstants/1022266,1,0,0.005381,0.0
geoTargetConstants/1022285,1,0,0.003911,0.0
geoTargetConstants/1022429,322,0,1.785039,0.0
geoTargetConstants/1022858,1,0,0.00362,0.0
geoTargetConstants/1023191,10,0,0.045158,0.0
geoTargetConstants/1023503,2,0,0.01138,0.0
geoTargetConstants/1023522,1,0,0.0,0.0
geoTargetConstants/1023526,10,2,1.9964709999999999,1.0
geoTargetConstants/1023528,5,2,0.12,0.0
geoTargetConstants/1023539,6,4,0.73,0.0
geoTargetConstants/1023540,7406,133,133.790426,11.0
geoTargetConstants/1023545,4,0,0.061591,0.0
geoTargetConstants/1023554,9,1,2.157337,0.0
geoTargetConstants/1023575,1473,5,9.682889,0.0
geoTargetConstants/1023605,2,0,0.014474,0.0
geoTargetConstants/1023606,942,4,5.138514,0.0
geoTargetConstants/1023608,29283,689,603.195896,66.70549
geoTargetConstants/1023617,4,1,0.01,0.0
geoTargetConstants/1023626,69714,464,801.70735,72.999229
geoTargetConstants/1023633,13,2,2.756768,0.0
geoTargetConstants/1023640,108325,892,1520.989516,121.710652
geoTargetConstants/1023643,2,1,0.01,0.0
geoTargetConstants/1023654,4,0,0.0,0.0
geoTargetConstants/1023660,15369,548,307.42763,28.0
geoTargetConstants/1023669,2,0,0.0,0.0
geoTargetConstants/1023671,6071,74,61.472339999999996,1.090913
geoTargetConstants/1023691,6,0,0.042286,0.0
geoTargetConstants/1023706,1130,28,13.885227,0.0
geoTargetConstants/1023709,1,0,0.0,0.0
geoTargetConstants/1023726,231,11,2.969019,0.0
geoTargetConstants/1023730,114,15,20.188433,4.0
geoTargetConstants/1023731,1229,11,17.913372,3.9998810000000002
geoTargetConstants/1023732,6255,33,61.027068,3.999236
geoTargetConstants/1023738,166,4,2.773135,0.0
geoTargetConstants/1023744,3,0,0.0,0.0
geoTargetConstants/1023765,1,0,0.0,0.0
geoTargetConstants/1023787,1220,24,32.096341,4.0
geoTargetConstants/1023800,3409,148,131.083161,9.0
geoTargetConstants/1023801,1,0,0.0,0.0
geoTargetConstants/1023817,1,0,0.0,0.0
geoTargetConstants/1023818,2,1,0.13,0.0
geoTargetConstants/1023819,13195,385,349.800518,32.999849
geoTargetConstants/1023847,12,8,0.7,0.0
geoTargetConstants/1023866,533,12,3.408684,0.0
geoTargetConstants/1023877,4,2,0.34,0.0
geoTargetConstants/1023895,15,0,0.04208,0.0
geoTargetConstants/1023918,123,7,7.207815,0.0
geoTargetConstants/1023923,110,1,0.652479,0.0
geoTargetConstants/1023933,2783,11,21.424373,1.0
geoTargetConstants/1023939,31,6,0.11,0.0
geoTargetConstants/1023941,1,0,0.0,0.0
geoTargetConstants/1023946,4795,79,52.368362,2.0
geoTargetConstants/1023956,11138,36,80.522922,2.0
geoTargetConstants/1023972,6,0,0.034463,0.0
geoTargetConstants/1024022,2314,78,67.059757,3.0
geoTargetConstants/1024027,97,4,1.8216320000000001,0.0
geoTargetConstants/1024043,130,7,0.7803019999999999,0.0
geoTargetConstants/1024086,8171,135,86.472132,9.0
geoTargetConstants/1024610,3897,0,20.74651,0.0
geoTargetConstants/1024611,2,0,0.0,0.0
geoTargetConstants/1024614,2,0,0.012309,0.0
geoTargetConstants/1024616,696,0,3.779417,0.0
geoTargetConstants/1024619,2093,20,20.766041,3.0
geoTargetConstants/1024620,2,0,0.010664,0.0
geoTargetConstants/1024622,15136,575,507.933522,60.786198
geoTargetConstants/1024624,20,2,1.051203,1.0
geoTargetConstants/1024626,2832,2,15.380198,0.0
geoTargetConstants/1024627,1371,119,59.372209999999995,11.0
geoTargetConstants/1024630,2173,1,11.597176,0.0
geoTargetConstants/1024639,778,17,13.744596,2.0
geoTargetConstants/1024640,1417,1,7.494517,0.0
geoTargetConstants/1024646,1783,12,16.184227,2.0
geoTargetConstants/1024647,634,8,16.519179,2.0
geoTargetConstants/1024650,1825,100,83.00812,4.0
geoTargetConstants/1024651,12,0,0.073841,0.0
geoTargetConstants/1024652,28,5,2.918872,0.0
geoTargetConstants/1024655,482,40,29.265527,0.0
geoTargetConstants/1024663,1682,0,9.34115,0.0
geoTargetConstants/1024664,50,2,3.860166,0.0
geoTargetConstants/1024666,3549,92,67.027557,8.388284
geoTargetConstants/1024668,10,7,2.0300000000000002,0.0
