keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name
app,BROAD,20826761247,1149_FCB_CDPromo_CDPromo_Ohio_Conversion_Display_GDN_Prospecting_1.1.24,157136800798,1149_FCB_CDPromo_CDPromo_Ohio_Conversion_Display_GDN_Prospecting_1.1.24
game,BROAD,20826761247,1149_FCB_CDPromo_CDPromo_Ohio_Conversion_Display_GDN_Prospecting_1.1.24,157136800798,1149_FCB_CDPromo_CDPromo_Ohio_Conversion_Display_GDN_Prospecting_1.1.24
app,BROAD,20826761166,1149_FCB_CDPromo_CDPromo_PAComm_Conversion_Display_GDN_Prospecting_1.1.24,157136800958,1149_FCB_CDPromo_CDPromo_PAComm_Conversion_Display_GDN_Prospecting_1.1.24
game,BROAD,20826761166,1149_FCB_CDPromo_CDPromo_PAComm_Conversion_Display_GDN_Prospecting_1.1.24,157136800958,1149_FCB_CDPromo_CDPromo_PAComm_Conversion_Display_GDN_Prospecting_1.1.24
app,BROAD,20826760764,1149_FCB_CDPromo_CDPromo_PAMetro_Conversion_Display_GDN_Prospecting_1.1.24,157136800558,1149_FCB_CDPromo_CDPromo_PAMetro_Conversion_Display_GDN_Prospecting_CD_1.1.24
game,BROAD,20826760764,1149_FCB_CDPromo_CDPromo_PAMetro_Conversion_Display_GDN_Prospecting_1.1.24,157136800558,1149_FCB_CDPromo_CDPromo_PAMetro_Conversion_Display_GDN_Prospecting_CD_1.1.24
app,BROAD,20836906735,1150_FCB_MoneyMarket_MoneyMarket_Ohio_Conversion_Display_GDN_Prospecting_1.1.24,157136800998,1150_FCB_MoneyMarket_MoneyMarket_Ohio_Conversion_Display_GDN_Prospecting_1.1.24
game,BROAD,20836906735,1150_FCB_MoneyMarket_MoneyMarket_Ohio_Conversion_Display_GDN_Prospecting_1.1.24,157136800998,1150_FCB_MoneyMarket_MoneyMarket_Ohio_Conversion_Display_GDN_Prospecting_1.1.24
app,BROAD,22045517404,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25,172569081339,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25
game,BROAD,22045517404,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25,172569081339,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25
app,BROAD,22045517404,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25,182059989291,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_3.14.25
game,BROAD,22045517404,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_1.2.25,182059989291,1292_FCB_CDPromo_CDPromo_AllMarkets_Conversion_Display_GDN_Prospecting_CD Special_3.14.25
fcb online banking,EXACT,1042897332,2019 Brand Outer_Markets,52731491473,Brand
fcb online banking login,EXACT,1042897332,2019 Brand Outer_Markets,52731491473,Brand
fcbanking com,EXACT,1042897332,2019 Brand Outer_Markets,52731491473,Brand
fcbanking com login,EXACT,1042897332,2019 Brand Outer_Markets,52731491473,Brand
fcbanking login,EXACT,1042897332,2019 Brand Outer_Markets,52731491473,Brand
