application_id,click_id,click_id_type,click_id_source,bucket,bucket_detail,category,subcategory,attribution,approved,funded,production_value,lifetime_value,product_family,report_completion_timestamp
32661,0AAAAADJeyxXQ7g1l21fevdaaNmjAGfbqo,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-03 00:32:00.000
132904,0AAAAADJeyxU-KseAGtb8CSDNQZJh8bkaK,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-01-10 03:52:00.000
32795,0AAAAADJeyxVGorQ5lu13SG7ciNKTaqXBd,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,1,50.0,1500.0,Xpress App,2026-01-11 16:45:00.000
32871,0AAAAADJeyxWpPWVm9mKiflEzT-V66Y5Fn,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-01-15 15:57:00.000
32877,0AAAAADJeyxVBBd4H1p2wI9FG5yN_QX2-C,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,1,10.0,1500.0,Xpress App,2026-01-15 18:21:00.000
133178,0AAAAADJeyxUlynkCnGwbTJYYFqbYYDWFR,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-01-16 01:36:00.000
32888,0AAAAADJeyxUYWfazotrsjtLVW1zhxhwSj,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,1,25.0,1500.0,Xpress App,2026-01-16 16:34:00.000
32905,0AAAAADJeyxUYWfazotrsjtLVW1zhxhwSj,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-01-16 21:37:00.000
32913,0AAAAADJeyxUYWfazotrsjtLVW1zhxhwSj,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-16 21:53:00.000
32920,0AAAAADJeyxU9JOz09W3n7W8xiZkeRS2GF,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-17 08:04:00.000
32928,0AAAAADJeyxU9JOz09W3n7W8xiZkeRS2GF,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-17 19:23:00.000
32933,0AAAAADJeyxXfab_4a8lHnCkZIiwV-4Dg0,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-01-18 07:32:00.000
32936,0AAAAADJeyxXfab_4a8lHnCkZIiwV-4Dg0,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,1,50.0,1500.0,Xpress App,2026-01-18 23:45:00.000
32943,0AAAAADJeyxXfab_4a8lHnCkZIiwV-4Dg0,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-19 16:52:00.000
32952,0AAAAADJeyxXfab_4a8lHnCkZIiwV-4Dg0,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,1,5.0,1500.0,Xpress App,2026-01-19 22:38:00.000
32970,0AAAAADJeyxVBBd4H1p2wI9FG5yN_QX2-C,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-21 03:52:00.000
32985,0AAAAADJeyxXZeAKHgLrfNy0VMWJ4JDlex,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-01-21 19:57:00.000
133440,0AAAAADJeyxXZeAKHgLrfNy0VMWJ4JDlex,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Vehicle Loan,2026-01-21 21:50:00.000
