date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2026-01-01,23091630396,IMM_FirstCCU Checking - Lead Gen,847,90,124.666861,0.0
2026-01-02,23091630396,IMM_FirstCCU Checking - Lead Gen,666,155,153.321917,0.0
2026-01-03,23091630396,IMM_FirstCCU Checking - Lead Gen,662,72,98.51704,2.0
2026-01-04,23091630396,IMM_FirstCCU Checking - Lead Gen,482,67,76.39319,0.0
2026-01-05,23091630396,IMM_FirstCCU Checking - Lead Gen,974,148,179.299171,1.0
2026-01-06,23091630396,IMM_FirstCCU Checking - Lead Gen,914,127,166.827531,0.666666
2026-01-07,23091630396,IMM_FirstCCU Checking - Lead Gen,635,102,128.143098,2.333334
2026-01-08,23091630396,IMM_FirstCCU Checking - Lead Gen,782,121,132.254843,1.0
2026-01-09,23091630396,IMM_FirstCCU Checking - Lead Gen,635,98,106.578422,0.0
2026-01-12,23091630396,IMM_FirstCCU Checking - Lead Gen,318,70,57.508052,1.0
2026-01-13,23091630396,IMM_FirstCCU Checking - Lead Gen,371,90,66.881191,2.0
2026-01-14,23091630396,IMM_FirstCCU Checking - Lead Gen,626,101,259.992719,0.0
2026-01-15,23091630396,IMM_FirstCCU Checking - Lead Gen,221,62,260.0,12.0
2026-01-16,23091630396,IMM_FirstCCU Checking - Lead Gen,292,47,259.990378,8.0
2026-01-17,23091630396,IMM_FirstCCU Checking - Lead Gen,280,56,178.01776,7.0
2026-01-18,23091630396,IMM_FirstCCU Checking - Lead Gen,193,35,141.951696,6.0
2026-01-19,23091630396,IMM_FirstCCU Checking - Lead Gen,187,59,136.871776,3.0
2026-01-20,23091630396,IMM_FirstCCU Checking - Lead Gen,130,34,121.48,0.0
2026-01-21,23091630396,IMM_FirstCCU Checking - Lead Gen,207,59,118.700476,2.0
2026-01-22,23091630396,IMM_FirstCCU Checking - Lead Gen,249,68,117.300103,2.0
2026-01-23,23091630396,IMM_FirstCCU Checking - Lead Gen,143,48,78.560042,4.0
2026-01-24,23091630396,IMM_FirstCCU Checking - Lead Gen,199,13,176.661825,0.0
2026-01-25,23091630396,IMM_FirstCCU Checking - Lead Gen,82,3,39.02,0.0
2026-01-26,23091630396,IMM_FirstCCU Checking - Lead Gen,73,9,15.16,0.0
2026-01-27,23091630396,IMM_FirstCCU Checking - Lead Gen,527,77,125.562505,1.0
2026-01-28,23091630396,IMM_FirstCCU Checking - Lead Gen,559,90,259.647896,6.0
2026-01-29,23091630396,IMM_FirstCCU Checking - Lead Gen,489,74,155.259429,7.0
2026-01-30,23091630396,IMM_FirstCCU Checking - Lead Gen,448,87,109.18,4.0
2026-01-31,23091630396,IMM_FirstCCU Checking - Lead Gen,295,53,108.45,7.0
