date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,apps,approved,funded,production,value
2026-01-01,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,fccu beloit,EXACT,1,0,0,0.0,0.0
2026-01-08,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,1,1,1,50.0,1500.0
2026-01-14,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,fccu beloit,EXACT,1,1,0,0.0,0.0
2026-01-15,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,2,0,0,0.0,0.0
2026-01-15,23091630396,IMM_FirstCCU Checking - Lead Gen,187506200398,GENERIC CHECKING TERMS ​,free checking account,BROAD,1,1,1,10.0,1500.0
2026-01-17,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,1,0,0,0.0,0.0
2026-01-17,23091630396,IMM_FirstCCU Checking - Lead Gen,187506200398,GENERIC CHECKING TERMS ​,free checking account,BROAD,1,0,0,0.0,0.0
2026-01-18,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,best bank for checking,BROAD,1,1,0,0.0,0.0
2026-01-18,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,3,2,1,5.0,1500.0
2026-01-21,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,1,0,0,0.0,0.0
2026-01-22,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union rockford,BROAD,1,0,0,0.0,0.0
2026-01-22,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,free online banking,BROAD,1,0,0,0.0,0.0
2026-01-25,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,free online banking,BROAD,1,0,0,0.0,0.0
2026-01-28,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,open a bank account,BROAD,1,0,0,0.0,0.0
2026-01-29,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,free online banking,BROAD,1,0,0,0.0,0.0
2026-01-29,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,open a bank account,BROAD,1,0,0,0.0,0.0
2026-01-30,23091630396,IMM_FirstCCU Checking - Lead Gen,183564680821,BRANDED TERMS,free online banking,BROAD,1,1,0,0.0,0.0
2026-01-31,23091630396,IMM_FirstCCU Checking - Lead Gen,187505983118,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,1,0,0,0.0,0.0
