campaign_name,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,EXACT,2522,828,549.744389,11.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union beloit,EXACT,754,230,175.986308,7.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,2327,182,618.001221,14.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit,EXACT,345,139,53.842635,1.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu,EXACT,334,111,124.328834,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,BROAD,582,107,253.396023,2.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,free checking account,BROAD,644,50,279.129825,11.5
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,local credit union,BROAD,768,44,134.92329,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first ccu,EXACT,196,41,11.027548,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best free online banking,BROAD,265,30,126.123082,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union janesville,EXACT,172,28,41.25,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu rockford,EXACT,97,25,28.322471999999998,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free online banking,BROAD,261,24,168.737546,6.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union rockford,BROAD,295,20,69.49,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union rockford,EXACT,55,20,49.397534,4.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,beloit credit union,EXACT,65,18,13.06,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu janesville,EXACT,57,18,18.019405,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,credit union checking account,BROAD,276,15,28.250299,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,open a bank account,BROAD,289,15,141.510372,5.5
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,rockford credit union,EXACT,119,14,36.04,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best checking and savings accounts,BROAD,170,13,39.329657,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best bank to use,BROAD,220,10,50.760000000000005,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first ccu,BROAD,48,9,37.74,1.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union vs bank,BROAD,66,8,16.16,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,good bank accounts,BROAD,68,8,27.269999999999996,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union rockford il,EXACT,85,7,19.049666,1.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union beloit wi,EXACT,61,7,30.79,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union janesville,BROAD,73,5,2.39,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free credit union account,BROAD,47,4,15.94,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit wi,EXACT,6,3,1.1400000000000001,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu checking account,EXACT,26,3,4.6,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union beloit,BROAD,32,3,5.87,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free bank,BROAD,37,2,24.759999999999998,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union janesville wi,EXACT,51,2,8.36,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best bank for checking,BROAD,46,2,42.24,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,PHRASE,19,1,10.39,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best banking accounts,BROAD,95,1,2.08,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,open bank account online credit union,BROAD,3,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,online bank account credit union,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,open checking account,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,free credit union,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,open checking account online,BROAD,14,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union near me,EXACT,12,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,checking account beloit,BROAD,55,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union beloit,BROAD,4,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,online bank account free no deposit,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free checking account no credit check no deposit,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union checking account,PHRASE,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit wi,BROAD,3,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,overdraft protection,BROAD,2,0,0.0,0.0
