location,impressions,clicks,cost,conversions
geoTargetConstants/1016260,59,2,14.18,0.0
geoTargetConstants/1016273,24,1,2.73,0.0
geoTargetConstants/1016294,348,53,164.006288,2.0
geoTargetConstants/1016335,66,8,34.914819,0.0
geoTargetConstants/1016336,16,0,0.0,0.0
geoTargetConstants/1016343,32,4,15.598020000000002,0.0
geoTargetConstants/1016365,92,9,19.812407,0.0
geoTargetConstants/1016400,17,3,23.6323,0.0
geoTargetConstants/1016405,20,4,1.36,0.0
geoTargetConstants/1016414,315,19,138.17519,0.0
geoTargetConstants/1016424,46,6,5.1,0.0
geoTargetConstants/1016473,22,2,3.885466,0.0
geoTargetConstants/1016481,889,113,482.653713,12.0
geoTargetConstants/1016487,13,4,11.34,0.0
geoTargetConstants/1016535,8,1,9.249172,0.0
geoTargetConstants/1016613,24,0,0.0,0.0
geoTargetConstants/1016615,10,0,0.0,0.0
geoTargetConstants/1016618,61,10,59.586543999999996,2.0
geoTargetConstants/1016635,12,5,1.42,0.0
geoTargetConstants/1016639,897,112,382.157034,9.0
geoTargetConstants/1016701,55,9,30.349999999999998,0.0
geoTargetConstants/1016746,24,2,2.060683,0.0
geoTargetConstants/1016747,70,11,33.96,0.0
geoTargetConstants/1016760,15,2,12.706214,0.0
geoTargetConstants/1016763,24,2,1.81,0.0
geoTargetConstants/1016764,53,4,5.05,0.0
geoTargetConstants/1016781,162,18,91.808307,0.0
geoTargetConstants/1016810,228,15,91.668106,0.0
geoTargetConstants/1016813,5169,549,4276.916743,99.0
geoTargetConstants/1016814,188,47,80.83090200000001,0.0
geoTargetConstants/1016821,162,29,65.83168,2.0
geoTargetConstants/1016855,334,81,192.724968,4.0
geoTargetConstants/1016876,6,0,0.0,0.0
geoTargetConstants/1016877,23,3,8.6,0.0
geoTargetConstants/1016885,17,0,0.0,0.0
geoTargetConstants/1016965,64,13,21.507916,0.0
geoTargetConstants/1027855,1859,341,1012.015425,29.0
geoTargetConstants/1027895,21,1,3.06,0.0
geoTargetConstants/1028022,1175,198,831.7935219999999,15.0
geoTargetConstants/1028121,5,0,0.0,0.0
geoTargetConstants/1028216,313,28,228.698996,10.0
geoTargetConstants/1028243,250,21,219.414209,3.0
geoTargetConstants/9051810,53,7,3.528756,0.0
geoTargetConstants/9216059,14,5,25.702392,0.0
geoTargetConstants/9216331,64,6,37.63,0.0
geoTargetConstants/9218236,10,2,1.248766,0.0
geoTargetConstants/9218506,53,1,0.66,0.0
