application_id,click_id,click_id_type,click_id_source,bucket,bucket_detail,category,subcategory,attribution,approved,funded,production_value,lifetime_value,product_family,report_completion_timestamp
1049883,IwY2xjawPCnURleHRuA2FlbQEwAGFkaWQAAAZP5V3ub3NydGMGYXBwX2lkDzI0NTc5MDgxODk1NTg2OAABHsNqLxAAUKQ6qTS29TpUE1QmhkVJeDyLyEEx6alX0LRtPmVaoW-3kRFugFof_aem_rlZYFaIwAdGCqJtkOSlOxw,fbclid,fbclid,A_wrong_click_id_type,fbclid,Paid,Meta,utm: an/paid-social/add3_leads_kraken/6937163033591/{{ad_name}}/mr-5065,1,1,10000.0,4900.0,Credit Card,2026-01-01 00:24:25.000
213237,0AAAABB9wW7NVXW9e4lP8uXxLA4pyv2ts6,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_personal_-_brand/kitsap credit union/mr-5116/campaign id: 23379709610,1,1,1100.0,1500.0,Xpress App,2026-01-01 20:15:53.000
213243,0AAAABB9wW7N99Ba1MTIhtWGt6MQPDKN32,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_personal_-_non-brand_-_locations/credit union bremerton/mr-5116/campaign id: 23238626389,0,0,0.0,0.0,Xpress App,2026-01-01 21:49:24.000
213247,0AAAABB9wW7MZSDRJ7lDbI9JtRqU7p4mzd,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_personal_-_non-brand/online banking/mr-5116/campaign id: 23238626386,0,0,0.0,0.0,Xpress App,2026-01-01 22:09:36.000
1050031,0AAAABB9wW7NP8SxFkB28OCsQ04vMSvuDg,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_personal_-_brand/kitsap credit union/mr-5116/campaign id: 23228929821,1,1,15000.0,3900.0,Personal Loan,2026-01-01 22:26:20.000
213250,0AAAABB9wW7NHrFckXUK7AmGXKkexveABN,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_personal_-_brand/kitsap federal credit union/mr-5116/campaign id: 23228929821,0,0,0.0,0.0,Xpress App,2026-01-01 23:09:08.000
213251,0AAAABB9wW7OH72z30PY0vVu65roAGWOeY,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Search,utm: google/sem/kcu_-_business_-_non-brand/business banking/mr-5116/campaign id: 23278396982,0,0,0.0,0.0,Xpress App,2026-01-01 23:52:27.000
213262,CloKCQiA09jKBhDlARJJAIyhXaHJPoQcPnRpJsROL4lhxQ-7Wewwev6NxcniIxaKPLj7sM6wtFZtz38Zq1v1_kUEPn_0ArjhnPgbIaPzePtliaKdHmpEWxoCIag,wbraid,wbraid,A_wrong_click_id_type,wbraid,Paid,YouTube,utm: youtube/video/pmkt_power-play-give-a-way_mr-5065/mr-5065,0,0,0.0,0.0,Xpress App,2026-01-02 03:40:28.000
1050109,IwY2xjawPDAEBleHRuA2FlbQEwAGFkaWQAAAZP5V0ox3NydGMGYXBwX2lkDzI0NTc5MDgxODk1NTg2OAABHloUDf3IBb3NMo0CN4kaKu_3Yj-Jl6GELbcacHM-J1nSzKfrBoq0HOq23Dig_aem_cbcsuV10_lroZrhdDM71bQ,fbclid,fbclid,A_wrong_click_id_type,fbclid,Paid,Meta,utm: an/paid-social/add3_leads_kraken/6937163033591/{{ad_name}}/mr-5065,1,1,3000.0,780.0,Personal Loan,2026-01-02 17:44:43.000
1050110,ddd2d915d5d7171c50b2b03399f5ed7c,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/sem/kcu_-_personal_-_brand/kitsap credit union,0,0,0.0,0.0,Personal Loan,2026-01-02 17:47:32.000
