date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2026-01-01,23282664394,KCU - Business - Brand,4,2,77.56,1.0
2026-01-01,23278396982,KCU - Business - NB,204,9,295.85,2.0
2026-01-01,23228929821,KCU - Personal - Brand,1163,289,219.377362,27.514452
2026-01-01,23379709610,KCU - Personal - Brand Brand Geo Test,457,119,144.135718,11.0
2026-01-01,23238626386,KCU - Personal - NB,751,46,654.722791,6.0
2026-01-01,23371442105,KCU - Personal - NB Extended,62,7,32.864221,1.0
2026-01-01,23238626389,KCU - Personal - NB Locations,397,30,373.997989,4.0
2026-01-01,23229263037,KCU - YT - AWA,59208,71,252.867672,2.0
2026-01-01,23278397513,X KCU - Business - Non-Brand Locations,1,0,0.0,0.0
2026-01-01,23355881198,X KCU - DG - 10 Mo Cert,2019,8,78.214363,0.0
2026-01-01,23390869145,X KCU - DG - Kraken,10578,49,147.282582,0.0
2026-01-02,23282664394,KCU - Business - Brand,3,2,27.405739,0.0
2026-01-02,23278396982,KCU - Business - NB,64,1,56.12,0.0
2026-01-02,23228929821,KCU - Personal - Brand,584,288,52.722284,44.300612
2026-01-02,23379709610,KCU - Personal - Brand Brand Geo Test,189,97,27.573046,7.0
2026-01-02,23238626386,KCU - Personal - NB,391,31,184.836065,4.0
2026-01-02,23371442105,KCU - Personal - NB Extended,83,10,74.965633,0.0
2026-01-02,23238626389,KCU - Personal - NB Locations,144,24,151.182676,1.0
2026-01-02,23229263037,KCU - YT - AWA,61538,92,265.057145,1.0
2026-01-02,23278397513,X KCU - Business - Non-Brand Locations,1,0,0.0,0.0
2026-01-02,23355881198,X KCU - DG - 10 Mo Cert,1972,4,82.907768,0.0
2026-01-02,23390869145,X KCU - DG - Kraken,5028,21,77.801006,2.0
2026-01-03,23278396982,KCU - Business - NB,66,4,63.45,0.0
2026-01-03,23228929821,KCU - Personal - Brand,482,171,59.997998,28.993345
2026-01-03,23379709610,KCU - Personal - Brand Brand Geo Test,158,74,24.457623,9.5
2026-01-03,23238626386,KCU - Personal - NB,270,21,197.427058,5.0
2026-01-03,23371442105,KCU - Personal - NB Extended,51,4,12.398121,0.0
2026-01-03,23238626389,KCU - Personal - NB Locations,138,14,139.210509,0.0
2026-01-03,23229263037,KCU - YT - AWA,57029,72,264.792981,0.0
2026-01-03,23355881198,X KCU - DG - 10 Mo Cert,1038,10,112.302087,0.0
2026-01-03,23390869145,X KCU - DG - Kraken,5746,31,87.634041,0.5
2026-01-04,23282664394,KCU - Business - Brand,2,1,6.406911,0.0
2026-01-04,23278396982,KCU - Business - NB,17,1,59.16,0.0
2026-01-04,23228929821,KCU - Personal - Brand,387,119,65.626902,29.899
2026-01-04,23379709610,KCU - Personal - Brand Brand Geo Test,106,52,24.964542,8.0
2026-01-04,23238626386,KCU - Personal - NB,213,19,188.441452,1.0
2026-01-04,23371442105,KCU - Personal - NB Extended,55,5,23.030292,1.0
2026-01-04,23238626389,KCU - Personal - NB Locations,139,14,152.394623,0.0
2026-01-04,23229263037,KCU - YT - AWA,58425,93,264.545247,0.0
2026-01-04,23355881198,X KCU - DG - 10 Mo Cert,1385,4,78.174741,0.0
2026-01-04,23390869145,X KCU - DG - Kraken,3210,22,80.804987,0.0
2026-01-05,23282664394,KCU - Business - Brand,7,4,38.41,3.0
2026-01-05,23278396982,KCU - Business - NB,39,2,91.66,0.0
2026-01-05,23228929821,KCU - Personal - Brand,578,279,53.722015,57.853966
2026-01-05,23379709610,KCU - Personal - Brand Brand Geo Test,255,148,26.502847,12.207903
2026-01-05,23238626386,KCU - Personal - NB,331,27,212.203183,2.0
2026-01-05,23371442105,KCU - Personal - NB Extended,108,6,30.986389,0.0
2026-01-05,23238626389,KCU - Personal - NB Locations,53,10,168.65356,4.0
2026-01-05,23229263037,KCU - YT - AWA,52900,82,256.51984,0.0
2026-01-05,23278397513,X KCU - Business - Non-Brand Locations,1,0,0.0,0.0
2026-01-05,23355881198,X KCU - DG - 10 Mo Cert,2086,7,80.535494,0.0
2026-01-05,23390869145,X KCU - DG - Kraken,4005,16,74.37011,5.0
2026-01-06,23282664394,KCU - Business - Brand,2,1,31.1,0.0
2026-01-06,23278396982,KCU - Business - NB,217,5,110.82,1.0
2026-01-06,23228929821,KCU - Personal - Brand,333,143,59.158805,22.663241
