date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,apps,approved,funded,production,value
2025-12-01,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap community credit union,PHRASE,0.8689,0.0326,0.0194,113.0906,39.4713
2025-12-01,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,41.0879,1.5414,0.9152,5347.5389,1866.4179
2025-12-01,23228929821,KCU - Personal - Brand,185493406542,Personal Banking,kitsap credit union accounts,PHRASE,0.6055,0.0227,0.0135,78.8012,27.5035
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union bainbridge,PHRASE,0.1584,0.0059,0.0035,20.6212,7.1973
2025-12-01,23228929821,KCU - Personal - Brand,185493406542,Personal Banking,kitsap credit union banking,PHRASE,2.6065,0.0978,0.0581,339.2337,118.4006
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union belfair,PHRASE,0.5689,0.0213,0.0127,74.0391,25.8414
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union branches,PHRASE,3.1764,0.1192,0.0708,413.4076,144.2891
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union bremerton,PHRASE,2.4383,0.0915,0.0543,317.3422,110.76
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union gig harbor,PHRASE,0.804,0.0302,0.0179,104.6401,36.5219
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union kingston,PHRASE,0.4541,0.017,0.0101,59.1068,20.6297
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union locations,PHRASE,1.7159,0.0644,0.0382,223.3223,77.9448
2025-12-01,23228929821,KCU - Personal - Brand,185493406542,Personal Banking,kitsap credit union membership,PHRASE,0.0725,0.0027,0.0016,9.4305,3.2915
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union near me,PHRASE,1.69,0.0634,0.0376,219.949,76.7674
2025-12-01,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union online banking,PHRASE,0.3825,0.0144,0.0085,49.7876,17.3771
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union port hadlock,PHRASE,0.0364,0.0014,0.0008,4.7367,1.6532
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union port orchard,PHRASE,3.6598,0.1373,0.0815,476.3153,166.2453
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union port townsend,PHRASE,1.2463,0.0468,0.0278,162.2079,56.6144
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union poulsbo,PHRASE,1.7511,0.0657,0.039,227.9068,79.5449
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union puyallup,PHRASE,0.7424,0.0279,0.0165,96.6233,33.7238
2025-12-01,23228929821,KCU - Personal - Brand,185493406542,Personal Banking,kitsap credit union rates,PHRASE,1.6128,0.0605,0.0359,209.9069,73.2625
2025-12-01,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union silverdale,PHRASE,3.7925,0.1423,0.0845,493.5889,172.2742
2025-12-01,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap cu,PHRASE,3.8999,0.1463,0.0869,507.5709,177.1543
2025-12-01,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap federal credit union,PHRASE,1.4986,0.0562,0.0334,195.0452,68.0754
