date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,apps,approved,funded,production,value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
2026-01-03,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-05,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,1,1,50.0,1500.0,0,1,0,0,0
2026-01-07,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online account opening,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-09,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online checking account,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-10,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-11,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,2,1,0,0.0,0.0,1,0,0,0,0
2026-01-12,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online account opening,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-13,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,1,0,0.0,0.0,0,1,0,0,0
2026-01-14,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online account opening,PHRASE,2,0,0,0.0,0.0,0,0,0,0,0
2026-01-14,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online banking,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-15,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,1,0,0.0,0.0,0,1,0,0,0
2026-01-16,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-17,23238626389,KCU - Personal - NB Locations,185493406982,Location - Kitsap,kitsap county credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-18,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-21,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-21,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-23,23371442105,KCU - Personal - NB Extended,191180609278,Digital Accounts,online checking account,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-24,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,1,0,0.0,0.0,0,0,0,1,0
2026-01-24,23238626386,KCU - Personal - NB,185493406702,General Banking,open bank account,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-26,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2026-01-27,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,2,1,1,4500.0,2205.0,1,0,0,0,0
2026-01-27,23371442105,KCU - Personal - NB Extended,191180609438,Certificates,certificate of deposit,PHRASE,1,1,1,500.0,1500.0,0,1,0,0,0
2026-01-28,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,2,1,1,15489.23,1500.0,0,1,0,0,0
2026-01-29,23379709610,KCU - Personal - Brand Brand Geo Test,191301547438,General Banking,kitsap credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
