location,impressions,clicks,cost,conversions
geoTargetConstants/1012873,23,0,0.08123300000000001,0.0
geoTargetConstants/1012887,9,0,0.055799,0.0
geoTargetConstants/1012896,2,0,0.008753,0.0
geoTargetConstants/1012898,5,0,0.017070000000000002,0.0
geoTargetConstants/1012901,1,0,0.003954,0.0
geoTargetConstants/1012908,2,0,0.006035,0.0
geoTargetConstants/1012923,2,0,0.006225,0.0
geoTargetConstants/1013048,1,0,0.003739,0.0
geoTargetConstants/1013380,1,0,0.007327,0.0
geoTargetConstants/1013433,1,0,0.010302,0.0
geoTargetConstants/1013462,1,0,0.003386,0.0
geoTargetConstants/1013509,2,0,0.014274,0.0
geoTargetConstants/1013523,1,0,0.003807,0.0
geoTargetConstants/1013570,1,0,0.002331,0.0
geoTargetConstants/1013697,1,0,0.004245,0.0
geoTargetConstants/1013716,1,0,0.002165,0.0
geoTargetConstants/1013804,1,0,0.001946,0.0
geoTargetConstants/1013832,1,0,0.006433,0.0
geoTargetConstants/1013869,1,0,0.002058,0.0
geoTargetConstants/1013876,2,1,0.011503,0.0
geoTargetConstants/1013962,1,0,0.002508,0.0
geoTargetConstants/1013981,1,0,0.002261,0.0
geoTargetConstants/1014107,2,0,0.017956,0.0
geoTargetConstants/1014129,1,0,0.001386,0.0
geoTargetConstants/1014226,3,0,0.011897,0.0
geoTargetConstants/1014228,1,0,0.007694,0.0
geoTargetConstants/1014237,1,0,0.002355,0.0
geoTargetConstants/1014370,1,0,0.001888,0.0
geoTargetConstants/1014373,3,0,0.017525,0.0
geoTargetConstants/1014602,1,0,0.00259,0.0
geoTargetConstants/1014895,1,0,0.009558,0.0
geoTargetConstants/1015150,1,0,0.002801,0.0
geoTargetConstants/1015416,1,0,0.003459,0.0
geoTargetConstants/1015545,1,0,0.002092,0.0
geoTargetConstants/1015579,1,0,0.008869,0.0
geoTargetConstants/1015605,1,0,0.009779,0.0
geoTargetConstants/1015611,1,0,0.005892,0.0
geoTargetConstants/1016125,1,0,0.003567,0.0
geoTargetConstants/1016140,1,0,0.002868,0.0
geoTargetConstants/1016168,1,0,0.00293,0.0
geoTargetConstants/1016184,1,0,0.003908,0.0
geoTargetConstants/1016196,1,0,0.005216,0.0
geoTargetConstants/1016216,1,0,0.006376,0.0
geoTargetConstants/1016223,2,0,0.004647,0.0
geoTargetConstants/1016248,1,0,0.008557,0.0
geoTargetConstants/1016367,1,0,0.004441,0.0
geoTargetConstants/1016502,1,0,0.003507,0.0
geoTargetConstants/1017155,1,0,0.009067,0.0
geoTargetConstants/1017596,1,0,0.003795,0.0
