campaign_id,campaign_name,impressions,clicks,cost,conversions
22359768469,Leads - Auto Loan,1699,118,604.647188,17.157772
22600644893,General Membership Campaign,15763,5526,487.840932,237.383313
22600681592,Recreational Loan Campaign,282,29,128.93462,3.0
22604458072,Personal Loan Campaign,3028,388,1039.319369,116.408567
22672853490,Recreational loan - Display - Leads,6354,155,202.865891,15.990786
22682563885,General Membership - Display - Leads - Ads,1354,89,184.257595,2.0
22749892459,Pmax - Checking Account,13025,322,738.129501,36.525452
22749923275,Pmax - Home Equity Loan,13941,487,1468.216009,43.52021
22795984517,Display - Personal Loan,2334,115,187.428179,35.940386000000004
23226790794,Mortgage Search 6/11,4919,277,531.134346,0.0
23232380573,CD - Display - 6/11/2025,1507,92,177.523288,2.0
23236336489,Mortgages - Display,1829,87,149.292507,0.012908
23236422937,CD - Search - 6/11/2025,1418,61,123.602703,2.003564
23550099732,Recreational Search Campaign (02-2026),894,76,556.331553,5.0
23575605815,Auto Loans Search Campaign (02-2026),1377,53,251.135081,1.0
23575707539,Checking Search Campaign (02-2026),1455,72,432.793585,6.0
23575727723,Home Equity Search Campaign (02-2026),601,37,412.98322399999995,2.45
23579184938,Membership Search Campaign (02-2026),1417,99,360.250896,10.100406
23580139561,Mortgage Search Campaign (02-2026),2874,186,367.841361,0.0
23580176296,CD Search Campaign (02-2026),1423,176,394.553256,0.0
23580282388,Personal Loans Search Campaign (02-2026),682,73,216.441228,7.0
23583612154,Generic Search Campaign (02-2026),1340,63,360.76619,9.45
