location,impressions,clicks,cost,conversions
geoTargetConstants/1016734,782,53,78.986602,18.003539
geoTargetConstants/1019118,38,2,4.095438,1.0
geoTargetConstants/1019120,309,60,28.285629999999998,2.0
geoTargetConstants/1019123,13,0,0.0,0.0
geoTargetConstants/1019126,574,70,71.313739,11.0
geoTargetConstants/1019127,1,0,0.0,0.0
geoTargetConstants/1019128,22,0,0.0,0.0
geoTargetConstants/1019133,120,6,4.488158,1.0
geoTargetConstants/1019135,7,0,0.0,0.0
geoTargetConstants/1019158,51,8,3.247722,0.0
geoTargetConstants/1019163,63,3,0.03,0.0
geoTargetConstants/1019175,150,7,10.464552,0.0
geoTargetConstants/1019180,11,0,0.0,0.0
geoTargetConstants/1019192,502,77,45.923425,1.0
geoTargetConstants/1019193,14,1,0.99,0.0
geoTargetConstants/1019194,65,7,6.225004,0.0
geoTargetConstants/1019198,5,0,0.0,0.0
geoTargetConstants/1019204,21,1,1.858307,0.0
geoTargetConstants/1019211,62,8,7.448942,2.0
geoTargetConstants/1019214,2,0,0.0,0.0
geoTargetConstants/1019216,22,4,3.8099999999999996,0.0
geoTargetConstants/1019217,2,0,0.0,0.0
geoTargetConstants/1019220,481,83,79.664698,5.056276
geoTargetConstants/1019226,8,1,1.03,0.0
geoTargetConstants/1019227,61,6,3.9099999999999997,0.0
geoTargetConstants/1019237,13,1,1.59,0.0
geoTargetConstants/1019244,933,174,122.57821,11.622456
geoTargetConstants/1019245,362,51,46.826751,8.0
geoTargetConstants/1019247,7,0,0.0,0.0
geoTargetConstants/1019250,11130,2064,1586.833659,199.450493
geoTargetConstants/1019252,39,2,0.09,0.0
geoTargetConstants/1019259,13,0,0.0,0.0
geoTargetConstants/1019260,31,10,15.040000000000001,2.0
geoTargetConstants/1019266,259,64,33.926875,5.0
geoTargetConstants/1019276,10,0,0.0,0.0
geoTargetConstants/1019282,22,2,5.553634,0.0
geoTargetConstants/1019285,140,31,12.756648,1.0
geoTargetConstants/1019293,57,2,2.3,1.0
geoTargetConstants/1019297,68,7,11.773592,1.0
geoTargetConstants/1019303,275,40,28.065039,3.006186
geoTargetConstants/1019310,5,0,0.0,0.0
geoTargetConstants/1019324,214,67,16.681901,5.0
geoTargetConstants/1019325,10,1,0.01,0.0
geoTargetConstants/1019330,424,55,59.755739999999996,10.271921
geoTargetConstants/1019335,173,31,8.47846,0.0
geoTargetConstants/1019337,61,6,14.470403,2.0
geoTargetConstants/1019345,33,5,11.146123,1.0
geoTargetConstants/1019350,64,5,6.594466000000001,0.0
geoTargetConstants/1019351,386,80,43.128855,8.001542
geoTargetConstants/1019354,77,4,3.0532,0.0
geoTargetConstants/1019363,164,9,21.012309000000002,2.0
geoTargetConstants/1019366,14,1,0.1,0.0
geoTargetConstants/1019368,14,0,0.0,0.0
geoTargetConstants/1019370,281,36,48.480162,1.6827900000000002
geoTargetConstants/1019380,3,0,0.0,0.0
geoTargetConstants/1019388,10,0,0.0,0.0
geoTargetConstants/1019401,2,0,0.0,0.0
geoTargetConstants/1019402,20,1,1.78,0.0
geoTargetConstants/1019405,84,3,4.52,0.0
geoTargetConstants/1019413,6,0,0.009172,0.0
geoTargetConstants/1019415,245,34,38.032283,2.21465
geoTargetConstants/1019419,510,76,57.80755,4.013224
geoTargetConstants/1019422,13,1,2.4,0.0
geoTargetConstants/1019425,509,127,35.291498999999995,4.0
geoTargetConstants/1019426,160,28,27.281966,3.0
geoTargetConstants/1019428,19,0,0.0,0.0
geoTargetConstants/1019434,17,1,2.69,1.0
geoTargetConstants/1019436,11,1,2.653531,0.0
geoTargetConstants/1019441,46,1,1.63,0.0
geoTargetConstants/1019444,51,22,0.288839,0.0
geoTargetConstants/1019447,54,2,0.09999999999999999,0.0
geoTargetConstants/1019448,18,0,0.0,0.0
geoTargetConstants/1019453,18,0,0.0,0.0
geoTargetConstants/1019459,25,4,0.04,0.964616
geoTargetConstants/1019465,71,6,10.6327,1.0
geoTargetConstants/1019472,135,14,13.609433,5.0
geoTargetConstants/1019480,165,22,13.974247,1.0
geoTargetConstants/1019484,24,0,0.0,0.0
geoTargetConstants/1019491,25,0,0.005059,0.0
geoTargetConstants/1019493,127,10,4.989572,0.0
geoTargetConstants/1019496,264,35,30.052908,4.001962
geoTargetConstants/1019498,323,60,13.250651999999999,3.0
geoTargetConstants/1019519,3,0,0.0,0.0
geoTargetConstants/1019524,8,2,3.56,0.0
geoTargetConstants/1019529,64,6,9.056588999999999,0.0
geoTargetConstants/1019534,94,7,2.87,3.0
geoTargetConstants/1019536,265,23,42.464504,4.0
geoTargetConstants/1019538,126,12,27.306337,2.0
geoTargetConstants/1019551,895,159,100.842441,16.084038
geoTargetConstants/1019556,33,2,4.56,0.0
geoTargetConstants/1019557,129,9,31.415719000000003,2.0
geoTargetConstants/1019563,29,0,0.0,0.0
geoTargetConstants/1019564,270,67,22.697068,2.0
geoTargetConstants/1019568,235,31,21.628251,6.0
geoTargetConstants/1019569,293,42,25.589153,5.0
geoTargetConstants/1019573,59,4,0.162044,0.0
geoTargetConstants/1019576,13,2,2.516224,0.0
