search_term,keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions
$0 down cars,Auto financing,PHRASE,22359768469,Leads - Auto Loan,175368477094,Auto Loan Keywords,1,0,0.0,0.0
$100 hud homes,first time home buyer down payment help,BROAD,23226790794,Mortgage Search 6/11,193924622611,Ad group 1,1,0,0.0,0.0
$1000 down rent to own homes in detroit,mortgage loan,BROAD,23580139561,Mortgage Search Campaign (02-2026),196445035387,Mortgage Search Campaign (02-2026),2,0,0.0,0.0
$1000 down rent to own homes in detroit mi no credit check,first time home buyer down payment help,BROAD,23226790794,Mortgage Search 6/11,193924622611,Ad group 1,1,0,0.0,0.0
$1000 quick loan no credit check,easy approval personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953101,Personal Loan Adgroup - 1,4,0,0.0,0.0
$125 000 mortgage payment 15 years,mortgage calculator,PHRASE,23226790794,Mortgage Search 6/11,193924622611,Ad group 1,1,0,0.0,0.0
$2000 bad credit loans guaranteed approval,easy approval personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953101,Personal Loan Adgroup - 1,1,0,0.0,0.0
$2000 bad credit loans guaranteed approval,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
$2000 loan no credit check direct lender,easy approval personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953101,Personal Loan Adgroup - 1,1,0,0.0,0.0
$250 loan same day online,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
$255 payday loan instant funding to debit card,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,2,0,0.0,0.0
$300 000 mortgage payment 25 years,mortgage loan,BROAD,23580139561,Mortgage Search Campaign (02-2026),196445035387,Mortgage Search Campaign (02-2026),2,1,2.02,0.0
$300 tribal loan no credit check,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
$3000 loans,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
$50 loan instant no credit check,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,2,0,0.0,0.0
$50 loan instant no credit check direct lender,easy approval personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953101,Personal Loan Adgroup - 1,1,0,0.0,0.0
$500 000 mortgage payment 30 years,mortgage calculator,PHRASE,23226790794,Mortgage Search 6/11,193924622611,Ad group 1,1,0,0.0,0.0
$500 cash advance today,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
$500 payday loans online same day,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,2,0,0.0,0.0
$5000 loan instant approval,personal loan,PHRASE,22604458072,Personal Loan Campaign,176993953141,Personal Loan Ad Group - 2,1,0,0.0,0.0
